問題文,答え,メモ,ジャンル,難易度,タグ
宇都宮頼綱（うつのみやよりつな）に依頼され、京都・小倉山の山荘で選んだ百首が、現在も小倉百人一首として残っている、平安時代末期の歌人・公家は誰でしょう？,藤原定家,小倉山の山荘は宇都宮頼綱のもの。依頼を受けた定家が百首を選び「小倉百人一首」となった,文系学問,1.5,"文系学問,百人一首,古典"
小倉百人一首に選ばれた天皇の中で唯一、在位中に詠まれた歌ではなく、退位後の院として詠んだとされる歌が選出された、歌番号99番の歌人は誰でしょう？,後鳥羽院,承久の乱で隠岐に流されました,文系学問,3.2,"文系学問,百人一首,古典"
本名は平仲子（たいらのちゅうし）という、小倉百人一首67番「春の夜の 夢ばかりなる 手枕に かひなく立たむ 名こそ惜しけれ」を詠んだ歌人は誰でしょう？,周防内侍,後冷泉天皇の女房でした,文系学問,3.5,"文系学問,百人一首,古典"
漫画・アニメ「ちはやふる」のタイトルの元にもなった、竜田川の紅葉を詠んだ小倉百人一首17番の歌人は誰でしょう？,在原業平,伊勢物語の主人公のモデルとされます,文系学問,2.0,"文系学問,百人一首,古典"
死後に天神様として祀られた、小倉百人一首24番「このたびは ぬさもとりあへず 手向山 紅葉の錦 神のまにまに」の作者は誰でしょう？,菅家（菅原道真）,菅原道真の歌（百人一首第24番）。道真は死後に天満天神として祀られた,文系学問,3.0,"文系学問,百人一首,古典"
六歌仙の一人でもある、「天つ風 雲の通ひ路 吹きとぢよ」で始まる百人一首12番を詠んだ僧侶は誰でしょう？,僧正遍昭,六歌仙・三十六歌仙の一人です,文系学問,2.8,"文系学問,百人一首,古典"
遣唐使の船への乗船を拒否したことで隠岐に流された、百人一首11番「わたの原 八十島かけて 漕ぎ出でぬと 人には告げよ 海人の釣舟」を詠んだ歌人は誰でしょう？,小野篁,838年、遣唐使への同行拒否と風刺詩が問題となり隠岐に流された,文系学問,3.0,"文系学問,百人一首,古典"
紫式部の娘として知られる、百人一首58番「有馬山（ありまやま） 猪名（いな）の笹原（ささはら） 風吹けば いでそよ人を 忘れやはする」を詠んだ女流歌人は誰でしょう？,大弐三位,紫式部の娘です,文系学問,3.3,"文系学問,百人一首,古典"
一条天皇の后・定子（ていし）に仕えた女房で、百人一首62番「夜をこめて 鳥の空音（そらね）は 謀（はか）るとも」を詠んだ、『枕草子』の作者は誰でしょう？,清少納言,定子（藤原定子）への忠誠心が枕草子にも色濃く表れている。百人一首第62番,文系学問,1.8,"文系学問,百人一首,古典"
世界最古の長編小説とも言われる、百人一首第57番の歌人・紫式部の代表作は何でしょう？,源氏物語,世界最古の長編小説とも言われます,文系学問,1.2,"文系学問,百人一首,古典,文学"
「貞信公」の名で知られる、百人一首26番「小倉山（おぐらやま） 峰のもみぢ葉 心あらば 今ひとたびの みゆき待たなむ」を詠んだ平安中期の公家は誰でしょう？,藤原忠平,百人一首第26番です,文系学問,3.0,"文系学問,百人一首,古典"
「田子の浦に うち出でてみれば 白妙の」と詠み出される、山部赤人の百人一首第4番が詠んだ山は何でしょう？,富士山,山部赤人の第4番の歌です,文系学問,1.0,"文系学問,百人一首,古典,地理"
柿本人麻呂の百人一首第3番「あしびきの 山鳥の尾の しだり尾の」で、長く垂れた山鳥の尾が序詞として表している「長いもの」とは何でしょう？,夜（秋の夜）の長さ,柿本人麻呂の第3番の歌です,文系学問,2.5,"文系学問,百人一首,古典"
大和三山の一つで、持統天皇が百人一首第2番「春すぎて 夏来にけらし 白妙の 衣ほすてふ」と詠んだ山は何でしょう？,天の香具山（かぐやま）,大和三山（耳成山・畝傍山・天の香具山）の一つです,文系学問,2.0,"文系学問,百人一首,古典,地理"
藤原道長の娘として知られる、百人一首第57番の歌人・紫式部が仕えた一条天皇の后は誰でしょう？,彰子（藤原彰子）,藤原道長の娘です,文系学問,3.0,"文系学問,百人一首,古典,歴史"
保元の乱で後白河天皇と争い讃岐に流された院で、百人一首第77番「瀬をはやみ 岩にせかるる 瀧川の われても末に あはむとぞ思ふ」を詠んだのは誰でしょう？,崇徳院,保元の乱に敗れ讃岐に流されました,文系学問,2.5,"文系学問,百人一首,古典"
三十六歌仙の一人で、百人一首の中で唯一富士山を詠んだ「田子の浦に うち出でてみれば 白妙の」の作者は誰でしょう？,山部赤人,「田子の浦に」で始まる第4番です,文系学問,2.0,"文系学問,百人一首,古典"
百人一首の第一首「秋の田の かりほの庵の 苫をあらみ わが衣手は 露にぬれつつ」で、「かりほの庵」とはどのような意味でしょう？,仮の（粗末な）小屋・仮庵,稲の収穫時に作る仮小屋のことです,文系学問,2.5,"文系学問,百人一首,古典"
「ひさかたの 光のどけき 春の日に しづ心なく 花の散るらむ」で詠まれている「花」は何の花でしょう？,桜,紀友則の第33番の歌です,文系学問,1.5,"文系学問,百人一首,古典"
