問題文,答え,メモ,ジャンル,難易度,タグ
ポケットモンスター赤・緑において、通常のゲームプレイでは入手できない幻の存在として設定され、全ポケモンの遺伝子を持つとされる151番目のポケモンは何でしょう？,ミュウ,図鑑No.151。正規の入手方法はなく、当初は開発スタッフによるバグ技でのみ入手可能だった。,アニメ&ゲーム,5,"短文基本,ゲーム,ポケモン,伝説"
山下達郎が1983年にリリースし、「きっと君は来ない」の歌詞で知られるとともに、2016年まで33年連続でオリコンチャートに返り咲いた記録を持つシングルは何でしょう？,クリスマス・イブ,1983年11月28日発売。ドラマ「すてきな気分で」の主題歌として大ヒット。連続チャートイン記録はギネス級。,芸能,7,"短文基本,音楽,J-POP,楽曲"
生涯にわたる潔癖症で知られ、尾崎紅葉（おざきこうよう）に師事したのち「高野聖（こうやひじり）」「夜叉ヶ池（やしゃがいけ）」などの幻想的な小説を書いた明治の作家は誰でしょう？,泉鏡花（いずみきょうか）,潔癖症のため食べ物を必ず加熱した。尾崎紅葉の門下生として知られる。,文系学問,7,"短文基本,文学,明治,幻想"
行列力学から導かれ、粒子の位置と運動量を同時に完全な精度で決定できないことを示した、ハイゼンベルクが1927年に提唱した量子力学の基本原理を何というでしょう？,不確定性原理,ハイゼンベルクの不確定性原理。観測行為が系を乱すという解釈もある。,理系学問,7,"短文基本,物理,量子力学,原理"
日本で初めての株式会社とも言われる亀山社中（かめやましゃちゅう）を設立した人物で、薩長同盟の仲介にも尽力した幕末の志士は誰でしょう？,坂本龍馬（さかもとりょうま）,亀山社中は1865年設立。薩長同盟締結に尽力。,文系学問,5,"短文基本,歴史,幕末,志士"
太古の細菌が真核細胞に取り込まれたとする共生説でも知られ、ATP産生を通じて細胞の「エネルギー工場」とも呼ばれる細胞内小器官は何でしょう？,ミトコンドリア,リン・マーギュリスが細菌との共生起源説を提唱。独自のDNAと二重膜構造を持つ。,理系学問,5,"短文基本,生物,細胞,進化"
ジョン・カバット＝ジンが仏教の瞑想技法を医療プログラムに応用して開発したMBSRを起源とし、今では企業研修にも広く採用される精神訓練法を何というでしょう？,マインドフルネス,1979年にカバット＝ジンがMBSRを開発。現在はGoogleなどが社員研修に採用。,ライフスタイル,5,"短文基本,ライフスタイル,瞑想,メンタルヘルス"
2021年と2023年にア・リーグMVPに輝き、ベーブ・ルース以来と称される「二刀流」でMLBを席巻した日本人選手は誰でしょう？,大谷翔平（おおたにしょうへい）,2021年・2023年ア・リーグMVP受賞。2024年ドジャース移籍。,スポーツ,5,"短文基本,野球,MLB,二刀流"
『進撃の巨人』に登場する、「壁外人類最強の兵士」の称号を持ち、調査兵団において兵長（へいちょう）として部下を率いて戦うキャラクターは誰でしょう？,リヴァイ（リヴァイ・アッカーマン）,調査兵団の兵長。エレンの班の上官にあたる。アッカーマン一族の末裔。,アニメ&ゲーム,5,"短文基本,アニメ,進撃の巨人,キャラクター"
アメリカの探検家ハイラム・ビンガムが1911年に「再発見」したことで世界的に知られるようになった、インカ帝国の遺跡が残るペルーの世界遺産はどこでしょう？,マチュ・ピチュ,ハイラム・ビンガムがイェール大学遠征隊長として1911年に再発見。1983年世界遺産登録。,社会,5,"短文基本,地理,ペルー,世界遺産"
1960年代にアメリカ音楽シーンへの「ブリティッシュ・インヴェイジョン」の先頭に立ち、ジョン・レノンやポール・マッカートニーが在籍したイギリスのロックバンドは何でしょう？,ビートルズ（The Beatles）,1964年のアメリカツアーがブリティッシュ・インヴェイジョンの象徴。解散は1970年。,芸能,5,"短文基本,音楽,ロック,イギリス"
第二次世界大戦後にアメリカが打ち出した西ヨーロッパ向けの経済復興支援計画で、東側諸国が参加を拒否したことで冷戦の構造を深める一因ともなった政策は何でしょう？,マーシャル・プラン（欧州復興計画）,1948年発効。国務長官マーシャルが提唱。ソ連はコミンフォルムで対抗。,社会,7,"短文基本,社会,冷戦,歴史"
『NARUTO』に登場する、うちはイタチが万華鏡写輪眼（まんげきょうしゃりんがん）の右眼で発動し、1秒の間に72時間分の体験を相手に見せるとされる最強クラスの幻術を何というでしょう？,月読（つくよみ）,うちはイタチの専用幻術。神話の月の神「ツクヨミ」にちなんだ名前。,アニメ&ゲーム,7,"短文基本,アニメ,NARUTO,忍術"
2003年のアカデミー賞で長編アニメーション賞を受賞したスタジオジブリ作品で、少女・千尋が豚にされた両親を救うために湯婆婆（ゆばーば）の湯屋で働く物語は何でしょう？,千と千尋の神隠し（せんとちひろのかみかくし）,宮崎駿監督。2001年公開。日本映画歴代興行収入1位を記録した（2020年時点）。,芸能,5,"短文基本,テレビ・映画,ジブリ,アニメ映画"
晩年に「画狂老人卍（がきょうろうじんまんじ）」と号し、「冨嶽三十六景（ふがくさんじゅうろっけい）」の代表作「神奈川沖浪裏（かながわおきなみうら）」で世界的に知られる江戸時代の浮世絵師は誰でしょう？,葛飾北斎（かつしかほくさい）,70歳以降に「画狂老人卍」と名乗った。富嶽三十六景は1831年頃刊行。,文系学問,5,"短文基本,美術,浮世絵,江戸時代"
1974年のFIFAワールドカップで、オランダのヨハン・クライフがスウェーデン戦において初めて披露したとされる、その名が冠されたサッカーのフェイントプレーは何でしょう？,クライフターン,1974年W杯グループステージ オランダ対スウェーデン戦（6月19日）で披露。,スポーツ,7,"短文基本,サッカー,W杯,フェイント"
英国への政府派遣留学で神経衰弱を患い、帰国後に東京帝国大学の講師を辞して朝日新聞専属作家となった明治の文豪は誰でしょう？,夏目漱石（なつめそうせき）,1900〜1902年英国留学。神経衰弱に苦しんだ。1907年朝日新聞社入社。,文系学問,5,"短文基本,文学,明治,小説家"
波の発生源と観測者の相対運動によって観測される波の周波数が変化する現象で、救急車のサイレンの音の高低変化でもお馴染みの、この物理現象を何というでしょう？,ドップラー効果,1842年にクリスティアン・ドップラーが提唱。光でも起きる。,理系学問,5,"短文基本,物理,波動,現象"
足利義満が明の永楽帝から「日本国王」として冊封（さくほう）を受けた際に始まった、正規の証票で倭寇（わこう）と区別しながら行われた明との朝貢形式の貿易を何というでしょう？,勘合貿易（かんごうぼうえき）,勘合符で正規の朝貢船を証明。義満が1404年に開始した。,文系学問,7,"短文基本,歴史,室町幕府,貿易"
豚のほほ肉であるグアンチャーレとペコリーノ・ロマーノ、卵黄を組み合わせて仕上げる、イタリア・ローマ発祥のパスタ料理は何でしょう？,カルボナーラ,グアンチャーレ＋ペコリーノが本格的なレシピ。生クリームは入れないのが伝統的。,ライフスタイル,5,"短文基本,グルメ,パスタ,イタリア料理"
